sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
南投,南投縣,69,細懸浮微粒,普通,1.2,0.35,6,13,40,25,18,18.9,0.8,1.5,147,"2024-11-30 03:00",,0.3,22.7,41,1,120.685306,23.913,36
二林,彰化縣,59,細懸浮微粒,普通,1.7,0.37,18,29,50,22,12,12.8,0.8,0.2,22,"2024-11-30 03:00",,0.3,18.9,53,2,120.409653,23.925175,35
線西,彰化縣,49,,良好,3.5,0.25,26,28,35,17,10,11.5,1.5,0.3,34,"2024-11-30 03:00",,0.2,15.2,40,3,120.469061,24.131672,34
彰化,彰化縣,55,細懸浮微粒,普通,1.3,0.38,10,19,33,21,24,25.1,1.2,0.6,32,"2024-11-30 03:00",,0.4,17.2,38,1,120.541519,24.066,33
西屯,臺中市,58,細懸浮微粒,普通,1.7,0.53,,25,46,19,38,58.7,20.9,0.8,2,"2024-11-30 03:00",,0.3,18.2,43,1,120.616917,24.162197,32
忠明,臺中市,62,細懸浮微粒,普通,1.8,0.48,4,16,41,24,30,31.5,1.5,1,340,"2024-11-30 03:00",,0.4,20,45,1,120.641092,24.151958,31
大里,臺中市,65,細懸浮微粒,普通,1.6,0.42,6,11,41,27,21,22.6,1.6,0.9,252,"2024-11-30 03:00",,0.5,21.2,45,1,120.67844444,24.09961111,30
沙鹿,臺中市,58,細懸浮微粒,普通,1.7,0.3,4,10,40,21,18,19,0.5,0.6,8,"2024-11-30 03:00",,0.3,18.2,42,1,120.568794,24.225628,29
豐原,臺中市,49,,良好,2.1,0.26,26,33,22,15,6,6.4,0.6,1.6,104,"2024-11-30 03:00",,0.2,15.1,25,1,120.74252414,24.25699731,28
三義,苗栗縣,39,,良好,0.9,0.19,30,27,13,7,3,3.9,1.2,0.3,321,"2024-11-30 03:00",,0.2,11.9,25,1,120.75956754,24.38248443,27
苗栗,苗栗縣,44,,良好,1.1,0.23,8,24,23,11,13,14.3,1.3,0.9,145,"2024-11-30 03:00",,0.2,13.6,31,1,120.82011468,24.56499183,26
頭份,苗栗縣,42,,良好,1.9,0.21,31,36,27,11,8,9.5,1.1,1.2,99,"2024-11-30 03:00",,0.2,12.8,33,1,120.89869286,24.69690679,25
新竹,新竹市,38,,良好,1.9,0.25,31,35,25,10,12,12.6,0.5,0.9,59,"2024-11-30 03:00",,0.3,11.7,34,1,120.97236752,24.8056356,24
竹東,新竹縣,37,,良好,0.8,0.18,20,28,16,8,3,3.7,0.5,0.9,87,"2024-11-30 03:00",,0.2,11.3,25,0,121.08895493,24.74091408,23
湖口,新竹縣,35,,良好,3.1,0.19,36,39,25,7,9,9.7,0.8,2.5,50,"2024-11-30 03:00",,0.2,10.2,32,2,121.03886894,24.90009696,22
龍潭,桃園市,38,,良好,1.1,0.16,38,42,21,10,5,6.2,1.1,1.1,37,"2024-11-30 03:00",,0.2,10,33,1,121.21645772,24.86400048,21
平鎮,桃園市,36,,良好,1.4,0.25,40,40,20,6,8,8.7,0.2,1.9,76,"2024-11-30 03:00",,0.3,10,30,1,121.203986,24.952786,20
觀音,桃園市,44,,良好,5.7,0.23,24,38,40,16,24,24.6,0.5,2.7,92,"2024-11-30 03:00",,0.2,13.7,41,2,121.08283092,25.03556747,19
大園,桃園市,38,,良好,1.9,0.18,39,38,19,10,11,11.8,0.5,2.9,71,"2024-11-30 03:00",,0.2,11.7,32,2,121.20251473,25.06100357,18
桃園,桃園市,37,,良好,1.8,0.19,41,40,25,5,6,7.3,0.7,1.8,57,"2024-11-30 03:00",,0.2,8.3,30,2,121.30500531,24.9947107,17
大同,臺北市,41,,良好,1.2,0.36,29,23,21,9,17,22,5.1,-,-,"2024-11-30 03:00",,0.5,12.6,31,1,121.51342074,25.06331455,16
松山,臺北市,38,,良好,1.8,0.2,26,24,25,8,12,12.2,0.7,0.9,23,"2024-11-30 03:00",,0.3,11,38,1,121.578611,25.05,15
古亭,臺北市,40,,良好,1.6,0.14,43,43,18,7,3,3.2,0,1.2,68,"2024-11-30 03:00",,0.2,10.1,27,2,121.529556,25.020608,14
萬華,臺北市,31,,良好,1.8,0.21,36,32,21,5,10,10.1,0.3,1.6,96,"2024-11-30 03:00",,0.2,9.7,30,1,121.507972,25.046503,13
中山,臺北市,40,,良好,1.4,0.21,35,30,23,7,11,11.3,0.7,1.9,77,"2024-11-30 03:00",,0.3,12.3,30,1,121.526528,25.062361,12
士林,臺北市,44,,良好,1,0.13,46,49,21,2,4,3.9,0.4,1,144,"2024-11-30 03:00",,0.1,7.5,26,1,121.51666356,25.10334003,11
淡水,新北市,39,,良好,1.3,0.23,31,30,20,10,7,8.2,0.8,0.8,60,"2024-11-30 03:00",,0.3,12,28,1,121.449239,25.1645,10
林口,新北市,41,,良好,1.3,0.17,41,44,17,3,6,6.5,0,3.1,84,"2024-11-30 03:00",,0.2,6.3,25,1,121.36548982,25.07798949,9
菜寮,新北市,35,,良好,1.1,0.18,39,37,12,7,10,10.4,0.7,2,81,"2024-11-30 03:00",,0.2,10.8,29,1,121.481028,25.06895,8
新莊,新北市,38,,良好,1.3,0.18,39,39,29,7,7,7.3,0.4,2.4,67,"2024-11-30 03:00",,0.2,9.9,38,1,121.4325,25.037972,7
板橋,新北市,39,,良好,0.8,0.19,44,42,13,4,6,6.7,0.6,1,89,"2024-11-30 03:00",,0.2,10,26,1,121.458667,25.012972,6
土城,新北市,40,,良好,0.9,0.18,44,44,18,2,5,5.7,0.9,1.3,52,"2024-11-30 03:00",,0.2,7.2,30,1,121.451861,24.982528,5
新店,新北市,40,,良好,0.7,0.18,33,38,23,9,8,8.8,0.8,1.3,120,"2024-11-30 03:00",,0.2,12.2,28,1,121.537778,24.977222,4
萬里,新北市,33,,良好,0.8,0.17,32,37,16,4,2,2.3,0.8,2.6,225,"2024-11-30 03:00",,0.1,9.2,28,0,121.689881,25.179667,3
汐止,新北市,45,,良好,3.8,0.22,16,18,18,10,20,20.4,0.9,1,57,"2024-11-30 03:00",,0.2,13.9,29,2,121.64081,25.06624,2
基隆,基隆市,33,,良好,1,0.24,18,27,12,6,9,8.7,0,0.2,342,"2024-11-30 03:00",,0.2,10.1,24,1,121.760056,25.129167,1
屏東(枋山),屏東縣,45,,良好,0.2,0.19,41,49,25,10,6,5.6,0.1,1.7,88,"2024-11-30 02:00",,0.1,11.5,27,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,51,細懸浮微粒,普通,1.4,,32,39,39,14,10,10.5,0.3,5.1,310,"2024-11-30 02:00",,0.1,15.5,35,0,121.61575076,23.97709367,312
新北(樹林),新北市,31,,良好,0.2,0.16,38,34,21,4,6,6.5,0.7,0,155,"2024-11-30 02:00",,0.2,8.8,30,1,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,79,細懸浮微粒,普通,5.7,0.47,31,49,84,34,23,23.5,0.9,1.9,349,"2024-11-30 02:00",,0.3,27,70,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,97,細懸浮微粒,普通,1.5,0.44,14,30,82,46,23,24,1,1,352,"2024-11-30 02:00",,0.3,34,79,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,79,細懸浮微粒,普通,2.8,0.5,6,27,76,41,37,37.2,0.1,0.8,45,"2024-11-30 02:00",,0.3,26.8,69,2,120.24535,22.87985556,202
彰化（員林）,彰化縣,65,細懸浮微粒,普通,2,0.42,8,17,51,23,22,23.2,1.2,0.4,329,"2024-11-30 02:00",,0.4,21.3,56,1,120.56373,23.96117,201
大城,彰化縣,60,細懸浮微粒,普通,2.1,0.47,21,40,52,24,16,17.9,1.7,1.3,83,"2024-11-30 02:00",,0.2,19.2,49,2,120.26964167,23.85493056,85
富貴角,新北市,62,懸浮微粒,普通,0.7,0.13,49,55,91,9,1,1.2,0,4,112,"2024-11-30 02:00",,0.1,8.8,62,0,121.53656894,25.29681695,84
麥寮,雲林縣,67,細懸浮微粒,普通,3,0.53,20,34,50,28,15,16.1,0.7,1,17,"2024-11-30 02:00",,0.3,21.9,52,2,120.251825,23.753506,83
關山,臺東縣,35,,良好,1.3,0.16,33,34,25,10,3,3.5,0.3,0.7,20,"2024-11-30 02:00",,0.1,10.9,31,1,121.161933,23.045083,80
馬公,澎湖縣,64,臭氧八小時,普通,1.1,0.17,57,60,27,15,2,2.6,0.7,3.9,28,"2024-11-30 02:00",,0.1,14.4,29,1,119.566158,23.569031,78
金門,金門縣,54,細懸浮微粒,普通,4.2,0.26,32,44,62,22,19,19.3,0.3,1.3,27,"2024-11-30 02:00",,0.2,16.8,50,1,118.312256,24.432133,77
馬祖,連江縣,49,,良好,1.1,0.18,52,54,32,15,4,4.1,0.5,1.8,24,"2024-11-30 02:00",,0.1,13,32,1,119.952724,26.153736,75
埔里,南投縣,73,細懸浮微粒,普通,1.3,0.28,16,19,26,26,6,7.5,1.1,0.3,297,"2024-11-30 02:00",,0.4,24.3,32,1,120.967903,23.968842,72
復興,高雄市,81,細懸浮微粒,普通,2.5,0.35,26,30,66,26,20,21.6,1.7,1.1,88,"2024-11-30 02:00",,0.5,27.5,73,1,120.312017,22.608711,71
永和,新北市,41,,良好,1.1,0.18,44,44,20,5,5,6.1,1.3,1.4,102,"2024-11-30 02:00",,0.3,9.4,29,1,121.516306,25.017,70
竹山,南投縣,71,細懸浮微粒,普通,1,0.24,13,20,36,21,10,10.5,0.8,0.4,167,"2024-11-30 02:00",,0.3,23.5,41,0,120.677306,23.756389,69
中壢,桃園市,41,,良好,2.7,0.27,39,30,22,9,9,11.4,2.2,0.6,326,"2024-11-30 02:00",,0.6,12.6,33,2,121.221667,24.953278,68
三重,新北市,47,,良好,1.4,0.44,18,14,23,12,29,49.8,20.9,-,-,"2024-11-30 02:00",,0.8,14.1,32,1,121.493806,25.072611,67
冬山,宜蘭縣,40,,良好,0.7,0.18,40,40,39,15,3,3.1,0.5,0.6,267,"2024-11-30 02:00",,0.1,12.2,40,1,121.792928,24.632203,66
宜蘭,宜蘭縣,40,,良好,0.8,0.16,37,43,23,10,3,2.8,0,0.6,209,"2024-11-30 02:00",,0.2,11.2,33,1,121.746394,24.747917,65
陽明,臺北市,48,,良好,1.1,0.15,50,53,18,2,1,1.9,0.5,5.2,60,"2024-11-30 02:00",,0.1,5,25,1,121.529583,25.182722,64
花蓮,花蓮縣,42,,良好,1.6,0.25,32,33,39,15,5,6,0.5,0.9,295,"2024-11-30 02:00",,0.3,13,40,1,121.599769,23.971306,63
臺東,臺東縣,37,,良好,1.5,0.16,40,41,27,9,2,2.4,0.4,1.6,301,"2024-11-30 02:00",,0.2,9.9,27,1,121.15045,22.755358,62
恆春,屏東縣,49,,良好,1.2,0.17,54,53,31,9,2,3,0.8,7.4,28,"2024-11-30 02:00",,0.1,11.4,27,1,120.788928,21.958069,61
潮州,屏東縣,91,細懸浮微粒,普通,1,0.31,11,32,96,69,10,10.6,0,0.6,44,"2024-11-30 02:00",,0.2,31.8,60,1,120.561175,22.523108,60
屏東,屏東縣,77,細懸浮微粒,普通,1.3,0.48,26,38,81,34,15,15.6,0.3,0.5,17,"2024-11-30 02:00",,0.4,25.9,69,1,120.488033,22.673081,59
小港,高雄市,79,細懸浮微粒,普通,4.5,0.43,18,30,75,33,30,30.8,0.6,1.2,4,"2024-11-30 02:00",,0.5,27,74,1,120.337736,22.565833,58
前鎮,高雄市,82,細懸浮微粒,普通,2.4,0.38,26,31,69,32,20,21.3,1.7,2,13,"2024-11-30 02:00",,0.5,28.2,79,1,120.30833356,22.6044507,57
前金,高雄市,80,懸浮微粒,普通,2.3,0.4,22,32,78,28,24,24.6,1,2.5,356,"2024-11-30 02:00",,0.4,26.8,80,1,120.28676111,22.63390278,56
左營,高雄市,85,細懸浮微粒,普通,2.9,0.4,22,34,76,31,18,18.9,0.7,1.2,359,"2024-11-30 02:00",,0.4,29.2,80,1,120.292917,22.674861,54
楠梓,高雄市,74,細懸浮微粒,普通,2.1,0.35,21,34,65,26,16,16.9,0.8,1.2,32,"2024-11-30 02:00",,0.3,24.7,71,1,120.328289,22.733667,53
林園,高雄市,80,細懸浮微粒,普通,3.2,0.38,25,41,86,36,19,19.2,0,1.7,339,"2024-11-30 02:00",,0.3,27.2,75,3,120.41175,22.4795,52
大寮,高雄市,78,細懸浮微粒,普通,2.7,0.34,27,32,40,28,15,15.8,0.6,1,354,"2024-11-30 02:00",,0.3,26.4,43,2,120.425311,22.56413611,51
鳳山,高雄市,88,細懸浮微粒,普通,3,0.37,29,30,69,30,15,16.9,1.6,0.6,141,"2024-11-30 02:00",,0.5,30.7,75,2,120.357422,22.628126,50
仁武,高雄市,80,細懸浮微粒,普通,2.7,0.4,13,30,60,28,27,27.7,0.3,1.2,332,"2024-11-30 02:00",,0.3,27.3,62,2,120.332631,22.689056,49
橋頭,高雄市,88,細懸浮微粒,普通,3.1,0.36,18,31,66,32,22,22.9,1,1.8,27,"2024-11-30 02:00",,0.3,30.4,73,1,120.305689,22.757506,48
美濃,高雄市,68,細懸浮微粒,普通,0.8,0.31,22,34,48,23,9,9.8,0.7,0.2,77,"2024-11-30 02:00",,0.3,22.3,48,2,120.530542,22.883583,47
臺南,臺南市,100,細懸浮微粒,普通,2.7,0.55,11,33,77,44,34,36.1,2.2,1.5,5,"2024-11-30 02:00",,0.4,35.4,75,2,120.21947897,22.98928311,46
安南,臺南市,100,細懸浮微粒,普通,2.4,0.44,15,33,73,39,23,24.1,0.9,1.2,323,"2024-11-30 02:00",,0.3,35.3,77,1,120.2175,23.048197,45
善化,臺南市,95,細懸浮微粒,普通,2.2,0.36,16,31,74,40,17,18.6,1.3,0.4,42,"2024-11-30 02:00",,0.3,33.2,74,2,120.29740529,23.11337642,44
新營,臺南市,106,細懸浮微粒,對敏感族群不健康,1.9,0.4,18,30,75,43,22,23.7,1.6,1.3,37,"2024-11-30 02:00",,0.3,37.4,75,1,120.31725,23.305633,43
嘉義,嘉義市,84,細懸浮微粒,普通,2.4,0.41,9,20,66,32,24,25,1,0.9,201,"2024-11-30 02:00",,0.4,28.9,69,2,120.44125148,23.46477865,42
臺西,雲林縣,53,細懸浮微粒,普通,1.3,0.37,27,41,56,22,11,10.6,0,1.2,43,"2024-11-30 02:00",,0.2,16.5,53,1,120.19933333,23.702175,41
朴子,嘉義縣,58,細懸浮微粒,普通,2.9,0.26,25,34,51,18,12,13.4,0.9,0.4,347,"2024-11-30 02:00",,0.3,18.5,55,1,120.2478,23.46538,40
新港,嘉義縣,103,細懸浮微粒,對敏感族群不健康,2.5,0.39,26,33,64,36,12,13.1,1.1,1,19,"2024-11-30 02:00",,0.4,36.3,75,2,120.345531,23.554839,39
崙背,雲林縣,66,細懸浮微粒,普通,2,0.34,22,30,48,23,12,12.8,0.6,0.2,104,"2024-11-30 02:00",,0.3,21.6,56,1,120.348742,23.757547,38
斗六,雲林縣,83,細懸浮微粒,普通,1.5,0.35,12,26,55,33,14,15.4,1,0.3,0,"2024-11-30 02:00",,0.3,28.4,59,1,120.544994,23.711853,37
南投,南投縣,68,細懸浮微粒,普通,1.2,0.35,7,16,40,24,16,16.5,0.4,0.8,186,"2024-11-30 02:00",,0.3,22.3,41,1,120.685306,23.913,36
二林,彰化縣,57,細懸浮微粒,普通,2.5,0.33,19,32,47,18,13,14.3,0.8,0.6,57,"2024-11-30 02:00",,0.2,17.9,53,2,120.409653,23.925175,35
線西,彰化縣,49,,良好,1.1,0.26,30,31,34,15,10,11.5,1.6,0.3,54,"2024-11-30 02:00",,0.2,15,42,2,120.469061,24.131672,34
彰化,彰化縣,55,細懸浮微粒,普通,1.2,0.4,10,22,33,16,23,24.5,1.5,0.4,144,"2024-11-30 02:00",,0.4,17.1,40,1,120.541519,24.066,33
西屯,臺中市,57,細懸浮微粒,普通,1.5,0.55,,27,42,16,35,51.8,17,0.8,333,"2024-11-30 02:00",,0.3,18,43,1,120.616917,24.162197,32
忠明,臺中市,58,細懸浮微粒,普通,1.6,0.44,10,20,47,25,28,29.1,1.4,0.6,342,"2024-11-30 02:00",,0.4,18.4,44,1,120.641092,24.151958,31
大里,臺中市,62,細懸浮微粒,普通,1.4,0.45,6,14,46,25,23,24.9,1.5,0.8,267,"2024-11-30 02:00",,0.5,20,46,1,120.67844444,24.09961111,30
沙鹿,臺中市,56,細懸浮微粒,普通,1.6,0.33,4,12,37,18,20,20.2,0.1,0.8,5,"2024-11-30 02:00",,0.3,17.7,41,1,120.568794,24.225628,29
豐原,臺中市,48,,良好,1.9,0.23,26,35,19,10,5,5.9,0.7,0.9,103,"2024-11-30 02:00",,0.2,14.7,25,1,120.74252414,24.25699731,28
三義,苗栗縣,42,,良好,1.1,0.2,24,27,21,16,4,5.9,1.4,0.4,181,"2024-11-30 02:00",,0.2,12.8,29,1,120.75956754,24.38248443,27
苗栗,苗栗縣,45,,良好,1.3,0.25,10,28,22,14,13,14.5,1.3,1.2,140,"2024-11-30 02:00",,0.2,13.8,33,1,120.82011468,24.56499183,26
頭份,苗栗縣,44,,良好,2,0.21,34,37,22,14,7,8.7,1.3,1.6,65,"2024-11-30 02:00",,0.2,13.4,35,1,120.89869286,24.69690679,25
新竹,新竹市,39,,良好,1.8,0.26,34,36,29,14,12,12.3,0.6,0.6,45,"2024-11-30 02:00",,0.3,12,35,1,120.97236752,24.8056356,24
竹東,新竹縣,40,,良好,0.9,0.19,23,31,20,9,4,4.3,0.5,1.1,125,"2024-11-30 02:00",,0.2,12.4,28,0,121.08895493,24.74091408,23
湖口,新竹縣,36,,良好,3.3,0.2,35,40,23,8,11,11.5,0.9,1.8,48,"2024-11-30 02:00",,0.2,10.7,33,2,121.03886894,24.90009696,22
龍潭,桃園市,39,,良好,1.1,0.17,40,42,28,7,5,6.1,1.1,1.8,62,"2024-11-30 02:00",,0.2,10.2,37,1,121.21645772,24.86400048,21
平鎮,桃園市,36,,良好,1.5,0.21,41,40,20,7,9,9.5,0.1,1.7,71,"2024-11-30 02:00",,0.3,11.1,32,1,121.203986,24.952786,20
觀音,桃園市,44,,良好,4.5,0.21,36,41,42,9,16,16.3,0.5,3.1,88,"2024-11-30 02:00",,0.2,13.5,41,2,121.08283092,25.03556747,19
大園,桃園市,39,,良好,2.3,0.18,37,38,25,8,13,13.5,0.6,3,68,"2024-11-30 02:00",,0.2,12,36,2,121.20251473,25.06100357,18
桃園,桃園市,37,,良好,1.8,0.21,41,40,22,7,8,8.8,1,1.6,58,"2024-11-30 02:00",,0.3,9,31,2,121.30500531,24.9947107,17
大同,臺北市,43,,良好,1.3,0.34,31,22,23,11,15,17.3,2.1,-,-,"2024-11-30 02:00",,0.5,13.1,33,1,121.51342074,25.06331455,16
松山,臺北市,40,,良好,2,0.23,25,24,30,9,13,14.2,0.9,1.2,20,"2024-11-30 02:00",,0.3,11.5,40,1,121.578611,25.05,15
古亭,臺北市,39,,良好,1.6,0.14,44,43,12,8,4,3.3,0,2,56,"2024-11-30 02:00",,0.2,10.9,30,2,121.529556,25.020608,14
萬華,臺北市,36,,良好,2.1,0.22,35,31,25,8,12,12.1,0.5,0.9,78,"2024-11-30 02:00",,0.3,11,32,1,121.507972,25.046503,13
中山,臺北市,43,,良好,1.3,0.22,35,30,24,11,12,12.4,0.7,2.4,81,"2024-11-30 02:00",,0.3,13.2,32,1,121.526528,25.062361,12
士林,臺北市,45,,良好,1,0.13,47,49,19,3,4,4.2,0.6,1.7,152,"2024-11-30 02:00",,0.1,7.9,27,1,121.51666356,25.10334003,11
淡水,新北市,41,,良好,1.3,0.26,30,30,21,10,8,8.8,0.4,1.1,60,"2024-11-30 02:00",,0.3,12.7,31,1,121.449239,25.1645,10
林口,新北市,41,,良好,1.3,0.17,42,45,21,1,7,6.5,0,3.9,96,"2024-11-30 02:00",,0.2,7.6,26,1,121.36548982,25.07798949,9
菜寮,新北市,37,,良好,1.3,0.2,37,38,22,9,12,12.6,0.7,1.2,90,"2024-11-30 02:00",,0.3,11.5,31,1,121.481028,25.06895,8
新莊,新北市,39,,良好,1.4,0.2,37,40,26,5,10,10.2,0.6,2.2,65,"2024-11-30 02:00",,0.2,10.9,39,1,121.4325,25.037972,7
板橋,新北市,38,,良好,0.6,0.21,46,42,14,8,6,7.2,0.7,1.2,99,"2024-11-30 02:00",,0.3,10.7,28,1,121.458667,25.012972,6
土城,新北市,40,,良好,1.2,0.19,45,44,21,3,6,6.4,0.8,1.2,318,"2024-11-30 02:00",,0.2,8.8,32,1,121.451861,24.982528,5
新店,新北市,43,,良好,0.9,0.16,37,39,21,9,6,7.4,0.8,1.6,83,"2024-11-30 02:00",,0.2,13.2,30,0,121.537778,24.977222,4
萬里,新北市,37,,良好,0.7,0.17,32,41,16,8,2,2.1,0.5,3,223,"2024-11-30 02:00",,0.1,10.4,30,0,121.689881,25.179667,3
汐止,新北市,47,,良好,4.1,0.23,17,21,21,11,19,19.3,0.7,1.1,47,"2024-11-30 02:00",,0.2,14.5,31,1,121.64081,25.06624,2
基隆,基隆市,34,,良好,1.2,0.24,22,32,19,11,8,7.8,0.2,0.2,331,"2024-11-30 02:00",,0.2,10.5,26,1,121.760056,25.129167,1
屏東(枋山),屏東縣,46,,良好,0.1,0.19,49,50,30,12,4,4.2,0,1.1,76,"2024-11-30 01:00",,0.1,12,27,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,51,細懸浮微粒,普通,0.5,0.15,35,40,33,16,,,,4.3,296,"2024-11-30 01:00",,0.1,15.6,34,0,121.61575076,23.97709367,312
新北(樹林),新北市,33,,良好,0.8,0.15,37,33,19,3,9,10.1,1,0,156,"2024-11-30 01:00",,0.2,10.1,33,1,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,72,細懸浮微粒,普通,6.1,0.88,20,53,99,36,33,33.8,0.5,2.3,330,"2024-11-30 01:00",,0.3,24,63,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,89,細懸浮微粒,普通,1.6,0.43,16,35,83,44,21,21.6,0.8,1.1,5,"2024-11-30 01:00",,0.3,31,77,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,70,細懸浮微粒,普通,2.8,0.4,9,34,71,32,35,35.3,0.6,0.7,20,"2024-11-30 01:00",,0.2,23.2,66,2,120.24535,22.87985556,202
彰化（員林）,彰化縣,64,細懸浮微粒,普通,1.9,0.42,10,21,54,17,25,26.7,1.4,0.5,296,"2024-11-30 01:00",,0.4,20.7,56,1,120.56373,23.96117,201
大城,彰化縣,58,細懸浮微粒,普通,2.3,0.42,25,46,67,25,12,14.6,2.5,1.6,70,"2024-11-30 01:00",,0.2,18.5,49,2,120.26964167,23.85493056,85
富貴角,新北市,54,臭氧八小時,普通,0.5,0.12,50,56,72,6,1,1,0,4.1,114,"2024-11-30 01:00",,0.1,9.1,54,0,121.53656894,25.29681695,84
麥寮,雲林縣,65,細懸浮微粒,普通,2.2,0.44,27,40,55,23,12,13.2,0.6,1.5,14,"2024-11-30 01:00",,0.3,21.1,54,2,120.251825,23.753506,83
關山,臺東縣,37,,良好,1.9,0.17,30,34,30,9,2,2.8,0.4,0.8,355,"2024-11-30 01:00",,0.2,11.3,32,1,121.161933,23.045083,80
馬公,澎湖縣,67,臭氧八小時,普通,1.6,0.16,57,60,27,27,2,2.8,0.4,4.1,29,"2024-11-30 01:00",,0.1,14.2,30,1,119.566158,23.569031,78
金門,金門縣,50,,良好,3,0.27,28,46,75,25,20,20.3,0.8,1.2,11,"2024-11-30 01:00",,0.2,15.4,47,1,118.312256,24.432133,77
馬祖,連江縣,49,,良好,1,0.17,54,53,30,10,2,3.2,0.9,1.7,338,"2024-11-30 01:00",,0.1,12.7,32,1,119.952724,26.153736,75
埔里,南投縣,73,細懸浮微粒,普通,1.1,0.32,13,23,27,22,8,8.8,0.9,0.3,333,"2024-11-30 01:00",,0.4,24.6,35,1,120.967903,23.968842,72
復興,高雄市,81,細懸浮微粒,普通,2.5,0.46,22,33,69,31,25,26.7,1.6,0.8,59,"2024-11-30 01:00",,0.5,27.5,75,1,120.312017,22.608711,71
永和,新北市,40,,良好,1.2,0.22,46,44,19,9,6,7.2,1,2,94,"2024-11-30 01:00",,0.3,10.2,31,1,121.516306,25.017,70
竹山,南投縣,72,細懸浮微粒,普通,0.7,0.3,14,25,36,21,12,12,0.3,0.4,358,"2024-11-30 01:00",,0.3,23.9,42,0,120.677306,23.756389,69
中壢,桃園市,44,,良好,2.1,0.34,35,28,24,10,14,18.2,4.4,0.3,271,"2024-11-30 01:00",,0.7,13.6,35,2,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,1.8,0.55,15,14,27,16,33,63.5,30.3,-,-,"2024-11-30 01:00",,0.9,14.5,34,1,121.493806,25.072611,67
冬山,宜蘭縣,40,,良好,0.9,0.17,37,40,32,9,3,3.1,0.5,0.5,303,"2024-11-30 01:00",,0.1,12,40,1,121.792928,24.632203,66
宜蘭,宜蘭縣,41,,良好,1.1,0.18,40,45,35,12,3,3.7,0.3,0.5,276,"2024-11-30 01:00",,0.2,11.1,35,1,121.746394,24.747917,65
陽明,臺北市,49,,良好,1.3,0.17,50,54,19,2,2,2.3,0.3,4.6,60,"2024-11-30 01:00",,0.1,5.7,27,1,121.529583,25.182722,64
花蓮,花蓮縣,41,,良好,1.5,0.29,27,33,42,13,6,7.5,1,1,302,"2024-11-30 01:00",,0.3,12.5,41,1,121.599769,23.971306,63
臺東,臺東縣,37,,良好,1.4,0.17,41,41,30,10,3,2.7,0,2.5,293,"2024-11-30 01:00",,0.2,10.2,27,1,121.15045,22.755358,62
恆春,屏東縣,49,,良好,1.1,0.17,55,53,25,11,2,2.7,1.1,7.5,27,"2024-11-30 01:00",,0.1,12.4,26,1,120.788928,21.958069,61
潮州,屏東縣,75,細懸浮微粒,普通,1.2,0.29,16,39,54,25,10,10.4,0.3,0.8,39,"2024-11-30 01:00",,0.2,25.3,55,1,120.561175,22.523108,60
屏東,屏東縣,71,細懸浮微粒,普通,1.6,0.33,33,42,63,24,,,,0.9,33,"2024-11-30 01:00",,0.4,23.5,66,1,120.488033,22.673081,59
小港,高雄市,77,細懸浮微粒,普通,2.9,0.53,20,35,78,26,31,31.5,0.6,1.3,33,"2024-11-30 01:00",,0.4,26.1,72,1,120.337736,22.565833,58
前鎮,高雄市,81,細懸浮微粒,普通,2.7,0.52,23,34,83,33,24,25.6,1.3,3,23,"2024-11-30 01:00",,0.5,27.8,81,1,120.30833356,22.6044507,57
前金,高雄市,80,懸浮微粒,普通,2.6,0.45,23,37,75,30,23,24.5,1.3,2.6,350,"2024-11-30 01:00",,0.4,26.2,80,1,120.28676111,22.63390278,56
左營,高雄市,85,細懸浮微粒,普通,2.9,0.46,21,39,77,32,24,24.4,0.5,1.4,41,"2024-11-30 01:00",,0.4,29.2,80,1,120.292917,22.674861,54
楠梓,高雄市,72,懸浮微粒,普通,2.8,0.37,22,38,70,26,21,21.5,0.5,1.2,16,"2024-11-30 01:00",,0.3,23.8,72,1,120.328289,22.733667,53
林園,高雄市,77,細懸浮微粒,普通,4.9,0.39,30,47,82,27,24,24.4,0.7,1.5,338,"2024-11-30 01:00",,0.3,26.2,74,3,120.41175,22.4795,52
大寮,高雄市,79,細懸浮微粒,普通,2.6,0.36,26,34,42,,18,18.5,0.7,1.3,334,"2024-11-30 01:00",,0.3,26.9,44,1,120.425311,22.56413611,51
鳳山,高雄市,86,細懸浮微粒,普通,3.8,0.48,18,31,78,33,27,28.1,1.1,0.6,271,"2024-11-30 01:00",,0.6,29.7,75,2,120.357422,22.628126,50
仁武,高雄市,79,細懸浮微粒,普通,4,0.41,19,35,62,33,23,24.3,0.9,1.4,330,"2024-11-30 01:00",,0.3,26.7,61,2,120.332631,22.689056,49
